price,quantity,type,timestamp
532.8,61073.8924,1,2022-05-21 23:36:26
532.0,36317.8258,0,2022-05-21 23:36:29
531.8,42918.9694,0,2022-05-21 23:36:29
531.7,1570.0036,0,2022-05-21 23:36:29
531.6,86608.7347,0,2022-05-21 23:36:29
531.5,74227.7194,0,2022-05-21 23:36:29
532.4,34042.8051,1,2022-05-21 23:36:29
532.5,4024.5033,1,2022-05-21 23:36:29
532.6,161643.6877,1,2022-05-21 23:36:29
532.7,4800.4901,1,2022-05-21 23:36:29
532.8,61073.8924,1,2022-05-21 23:36:29
532.0,36317.8258,0,2022-05-21 23:36:31
531.8,42918.9694,0,2022-05-21 23:36:31
531.7,1570.0036,0,2022-05-21 23:36:31
531.6,86608.7347,0,2022-05-21 23:36:31
531.5,74227.7194,0,2022-05-21 23:36:31
532.4,34042.8051,1,2022-05-21 23:36:31
532.5,4024.5033,1,2022-05-21 23:36:31
532.6,161643.6877,1,2022-05-21 23:36:31
532.7,4800.4901,1,2022-05-21 23:36:31
532.8,61073.8924,1,2022-05-21 23:36:31
532.0,36317.8258,0,2022-05-21 23:36:33
531.8,42918.9694,0,2022-05-21 23:36:33
531.7,1570.0036,0,2022-05-21 23:36:33
531.6,86608.7347,0,2022-05-21 23:36:33
531.5,74227.7194,0,2022-05-21 23:36:33
532.4,34042.8051,1,2022-05-21 23:36:33
532.5,4024.5033,1,2022-05-21 23:36:33
532.6,161643.6877,1,2022-05-21 23:36:33
532.7,4800.4901,1,2022-05-21 23:36:33
532.8,61073.8924,1,2022-05-21 23:36:33
532.0,21937.4828,0,2022-05-21 23:36:36
531.9,1078.3229,0,2022-05-21 23:36:36
531.8,42918.9694,0,2022-05-21 23:36:36
531.7,1570.0036,0,2022-05-21 23:36:36
531.6,86608.7347,0,2022-05-21 23:36:36
532.4,34042.8051,1,2022-05-21 23:36:36
532.5,4024.5033,1,2022-05-21 23:36:36
532.6,161643.6877,1,2022-05-21 23:36:36
532.7,4800.4901,1,2022-05-21 23:36:36
532.8,61073.8924,1,2022-05-21 23:36:36
532.0,21937.4828,0,2022-05-21 23:36:38
531.9,1078.3229,0,2022-05-21 23:36:38
531.8,42918.9694,0,2022-05-21 23:36:38
531.7,1570.0036,0,2022-05-21 23:36:38
531.6,86608.7347,0,2022-05-21 23:36:38
532.4,34042.8051,1,2022-05-21 23:36:38
532.5,4024.5033,1,2022-05-21 23:36:38
